book_id_raw,title,authors,language_code,image_url,small_image_url,description,text,book_idx
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",eng,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,"Harry Potter and the Chamber of Secrets (Harry Potter, #2) by J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2) — by J.K. Rowling, Mary GrandPré — Harry Potter and the Chamber of Secrets (Harry Potter, #2) by J.K. Rowling, Mary GrandPré",22
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",eng,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,"Harry Potter and the Goblet of Fire (Harry Potter, #4) by J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4) — by J.K. Rowling, Mary GrandPré — Harry Potter and the Goblet of Fire (Harry Potter, #4) by J.K. Rowling, Mary GrandPré",23
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",eng,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,"Harry Potter and the Deathly Hallows (Harry Potter, #7) by J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7) — by J.K. Rowling, Mary GrandPré — Harry Potter and the Deathly Hallows (Harry Potter, #7) by J.K. Rowling, Mary GrandPré",24
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,eng,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,"The Da Vinci Code (Robert Langdon, #2) by Dan Brown","The Da Vinci Code (Robert Langdon, #2) — by Dan Brown — The Da Vinci Code (Robert Langdon, #2) by Dan Brown",25
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",eng,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,"Harry Potter and the Half-Blood Prince (Harry Potter, #6) by J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6) — by J.K. Rowling, Mary GrandPré — Harry Potter and the Half-Blood Prince (Harry Potter, #6) by J.K. Rowling, Mary GrandPré",26
28,Lord of the Flies,William Golding,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,Lord of the Flies by William Golding,Lord of the Flies — by William Golding — Lord of the Flies by William Golding,27
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",eng,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,"Romeo and Juliet by William Shakespeare, Robert           Jackson","Romeo and Juliet — by William Shakespeare, Robert           Jackson — Romeo and Juliet by William Shakespeare, Robert           Jackson",28
30,Gone Girl,Gillian Flynn,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,Gone Girl by Gillian Flynn,Gone Girl — by Gillian Flynn — Gone Girl by Gillian Flynn,29
31,The Help,Kathryn Stockett,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,The Help by Kathryn Stockett,The Help — by Kathryn Stockett — The Help by Kathryn Stockett,30
32,Of Mice and Men,John Steinbeck,eng,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,Of Mice and Men by John Steinbeck,Of Mice and Men — by John Steinbeck — Of Mice and Men by John Steinbeck,31
33,Memoirs of a Geisha,Arthur Golden,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,Memoirs of a Geisha by Arthur Golden,Memoirs of a Geisha — by Arthur Golden — Memoirs of a Geisha by Arthur Golden,32
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,"Fifty Shades of Grey (Fifty Shades, #1) by E.L. James","Fifty Shades of Grey (Fifty Shades, #1) — by E.L. James — Fifty Shades of Grey (Fifty Shades, #1) by E.L. James",33
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",eng,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,"The Alchemist by Paulo Coelho, Alan R. Clarke","The Alchemist — by Paulo Coelho, Alan R. Clarke — The Alchemist by Paulo Coelho, Alan R. Clarke",34
36,"The Giver (The Giver, #1)",Lois Lowry,eng,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,"The Giver (The Giver, #1) by Lois Lowry","The Giver (The Giver, #1) — by Lois Lowry — The Giver (The Giver, #1) by Lois Lowry",35
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,eng,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) by C.S. Lewis","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) — by C.S. Lewis — The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) by C.S. Lewis",36
38,The Time Traveler's Wife,Audrey Niffenegger,eng,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg,The Time Traveler's Wife by Audrey Niffenegger,The Time Traveler's Wife — by Audrey Niffenegger — The Time Traveler's Wife by Audrey Niffenegger,37
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,eng,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg,"A Game of Thrones (A Song of Ice and Fire, #1) by George R.R. Martin","A Game of Thrones (A Song of Ice and Fire, #1) — by George R.R. Martin — A Game of Thrones (A Song of Ice and Fire, #1) by George R.R. Martin",38
40,"Eat, Pray, Love",Elizabeth Gilbert,eng,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,"Eat, Pray, Love by Elizabeth Gilbert","Eat, Pray, Love — by Elizabeth Gilbert — Eat, Pray, Love by Elizabeth Gilbert",39
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,eng,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,"The Lightning Thief (Percy Jackson and the Olympians, #1) by Rick Riordan","The Lightning Thief (Percy Jackson and the Olympians, #1) — by Rick Riordan — The Lightning Thief (Percy Jackson and the Olympians, #1) by Rick Riordan",40
42,"Little Women (Little Women, #1)",Louisa May Alcott,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Little Women (Little Women, #1) by Louisa May Alcott","Little Women (Little Women, #1) — by Louisa May Alcott — Little Women (Little Women, #1) by Louisa May Alcott",41
43,Jane Eyre,"Charlotte Brontë, Michael Mason",eng,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,"Jane Eyre by Charlotte Brontë, Michael Mason","Jane Eyre — by Charlotte Brontë, Michael Mason — Jane Eyre by Charlotte Brontë, Michael Mason",42
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,eng,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,"The Notebook (The Notebook, #1) by Nicholas Sparks","The Notebook (The Notebook, #1) — by Nicholas Sparks — The Notebook (The Notebook, #1) by Nicholas Sparks",43
45,Life of Pi,Yann Martel,,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg,Life of Pi by Yann Martel,Life of Pi — by Yann Martel — Life of Pi by Yann Martel,44
46,Water for Elephants,Sara Gruen,eng,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg,Water for Elephants by Sara Gruen,Water for Elephants — by Sara Gruen — Water for Elephants by Sara Gruen,45
47,The Book Thief,Markus Zusak,eng,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,The Book Thief by Markus Zusak,The Book Thief — by Markus Zusak — The Book Thief by Markus Zusak,46
48,Fahrenheit 451,Ray Bradbury,spa,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg,Fahrenheit 451 by Ray Bradbury,Fahrenheit 451 — by Ray Bradbury — Fahrenheit 451 by Ray Bradbury,47
49,"New Moon (Twilight, #2)",Stephenie Meyer,eng,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg,"New Moon (Twilight, #2) by Stephenie Meyer","New Moon (Twilight, #2) — by Stephenie Meyer — New Moon (Twilight, #2) by Stephenie Meyer",48
50,Where the Sidewalk Ends,Shel Silverstein,eng,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,Where the Sidewalk Ends by Shel Silverstein,Where the Sidewalk Ends — by Shel Silverstein — Where the Sidewalk Ends by Shel Silverstein,49
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,eng,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg,"City of Bones (The Mortal Instruments, #1) by Cassandra Clare","City of Bones (The Mortal Instruments, #1) — by Cassandra Clare — City of Bones (The Mortal Instruments, #1) by Cassandra Clare",50
52,"Eclipse (Twilight, #3)",Stephenie Meyer,en-US,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg,"Eclipse (Twilight, #3) by Stephenie Meyer","Eclipse (Twilight, #3) — by Stephenie Meyer — Eclipse (Twilight, #3) by Stephenie Meyer",51
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,en-US,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg,"Eragon (The Inheritance Cycle, #1) by Christopher Paolini","Eragon (The Inheritance Cycle, #1) — by Christopher Paolini — Eragon (The Inheritance Cycle, #1) by Christopher Paolini",52
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,en-US,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) — by Douglas Adams — The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams",53
55,Brave New World,Aldous Huxley,eng,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg,Brave New World by Aldous Huxley,Brave New World — by Aldous Huxley — Brave New World by Aldous Huxley,54
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,en-US,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg,"Breaking Dawn (Twilight, #4) by Stephenie Meyer","Breaking Dawn (Twilight, #4) — by Stephenie Meyer — Breaking Dawn (Twilight, #4) by Stephenie Meyer",55
57,The Secret Life of Bees,Sue Monk Kidd,en-US,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg,The Secret Life of Bees by Sue Monk Kidd,The Secret Life of Bees — by Sue Monk Kidd — The Secret Life of Bees by Sue Monk Kidd,56
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",eng,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg,"The Adventures of Huckleberry Finn by Mark Twain, John Seelye, Guy Cardwell","The Adventures of Huckleberry Finn — by Mark Twain, John Seelye, Guy Cardwell — The Adventures of Huckleberry Finn by Mark Twain, John Seelye, Guy Cardwell",57
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",eng,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg,"Charlotte's Web by E.B. White, Garth Williams, Rosemary Wells","Charlotte's Web — by E.B. White, Garth Williams, Rosemary Wells — Charlotte's Web by E.B. White, Garth Williams, Rosemary Wells",58
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,eng,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg,The Curious Incident of the Dog in the Night-Time by Mark Haddon,The Curious Incident of the Dog in the Night-Time — by Mark Haddon — The Curious Incident of the Dog in the Night-Time by Mark Haddon,59
61,The Girl on the Train,Paula Hawkins,eng,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg,The Girl on the Train by Paula Hawkins,The Girl on the Train — by Paula Hawkins — The Girl on the Train by Paula Hawkins,60
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,eng,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg,"The Golden Compass (His Dark Materials, #1) by Philip Pullman","The Golden Compass (His Dark Materials, #1) — by Philip Pullman — The Golden Compass (His Dark Materials, #1) by Philip Pullman",61
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Wuthering Heights by Emily Brontë, Richard J. Dunn","Wuthering Heights — by Emily Brontë, Richard J. Dunn — Wuthering Heights by Emily Brontë, Richard J. Dunn",62
64,My Sister's Keeper,Jodi Picoult,eng,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg,My Sister's Keeper by Jodi Picoult,My Sister's Keeper — by Jodi Picoult — My Sister's Keeper by Jodi Picoult,63
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,eng,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg,Slaughterhouse-Five by Kurt Vonnegut Jr.,Slaughterhouse-Five — by Kurt Vonnegut Jr. — Slaughterhouse-Five by Kurt Vonnegut Jr.,64
66,Gone with the Wind,Margaret Mitchell,eng,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg,Gone with the Wind by Margaret Mitchell,Gone with the Wind — by Margaret Mitchell — Gone with the Wind by Margaret Mitchell,65
67,A Thousand Splendid Suns,Khaled Hosseini,eng,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,A Thousand Splendid Suns by Khaled Hosseini,A Thousand Splendid Suns — by Khaled Hosseini — A Thousand Splendid Suns by Khaled Hosseini,66
68,The Perks of Being a Wallflower,Stephen Chbosky,eng,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg,The Perks of Being a Wallflower by Stephen Chbosky,The Perks of Being a Wallflower — by Stephen Chbosky — The Perks of Being a Wallflower by Stephen Chbosky,67
69,"Insurgent (Divergent, #2)",Veronica Roth,eng,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg,"Insurgent (Divergent, #2) by Veronica Roth","Insurgent (Divergent, #2) — by Veronica Roth — Insurgent (Divergent, #2) by Veronica Roth",68
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,eng,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg,"Ender's Game (Ender's Saga, #1) by Orson Scott Card","Ender's Game (Ender's Saga, #1) — by Orson Scott Card — Ender's Game (Ender's Saga, #1) by Orson Scott Card",69
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",eng,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg,"Frankenstein by Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein — by Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle — Frankenstein by Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",70
72,The Shining (The Shining #1),Stephen King,eng,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg,The Shining (The Shining #1) by Stephen King,The Shining (The Shining #1) — by Stephen King — The Shining (The Shining #1) by Stephen King,71
73,"The Host (The Host, #1)",Stephenie Meyer,en-US,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg,"The Host (The Host, #1) by Stephenie Meyer","The Host (The Host, #1) — by Stephenie Meyer — The Host (The Host, #1) by Stephenie Meyer",72
74,Looking for Alaska,John Green,eng,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg,Looking for Alaska by John Green,Looking for Alaska — by John Green — Looking for Alaska by John Green,73
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,eng,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg,"Bridget Jones's Diary (Bridget Jones, #1) by Helen Fielding","Bridget Jones's Diary (Bridget Jones, #1) — by Helen Fielding — Bridget Jones's Diary (Bridget Jones, #1) by Helen Fielding",74
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",eng,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg,"Sense and Sensibility by Jane Austen, Tony Tanner, Ros Ballaster","Sense and Sensibility — by Jane Austen, Tony Tanner, Ros Ballaster — Sense and Sensibility by Jane Austen, Tony Tanner, Ros Ballaster",75
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",eng,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg,"Holes (Holes, #1) by Louis Sachar, Louis Sachar","Holes (Holes, #1) — by Louis Sachar, Louis Sachar — Holes (Holes, #1) by Louis Sachar, Louis Sachar",76
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"The Devil Wears Prada (The Devil Wears Prada, #1) by Lauren Weisberger","The Devil Wears Prada (The Devil Wears Prada, #1) — by Lauren Weisberger — The Devil Wears Prada (The Devil Wears Prada, #1) by Lauren Weisberger",77
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",eng,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,"The Odyssey by Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox","The Odyssey — by Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox — The Odyssey by Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",78
